repositorio,url,ultima_atualizacao,dias_desde_ultima_atualizacao
github/spec-kit,https://github.com/github/spec-kit,2026-08-18T20:14:24Z,0.01
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2026-08-18T20:19:36Z,0.01
krahets/hello-algo,https://github.com/krahets/hello-algo,2026-08-18T19:17:50Z,0.05
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code,2026-08-18T20:10:19Z,0.01
garrytan/gstack,https://github.com/garrytan/gstack,2026-08-18T20:22:50Z,0.0
Comfy-Org/ComfyUI,https://github.com/Comfy-Org/ComfyUI,2026-08-18T19:34:18Z,0.04
farion1231/cc-switch,https://github.com/farion1231/cc-switch,2026-08-18T20:22:08Z,0.0
react/react-native,https://github.com/react/react-native,2026-08-18T19:15:40Z,0.05
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,2026-08-18T20:03:52Z,0.02
ggml-org/llama.cpp,https://github.com/ggml-org/llama.cpp,2026-08-18T20:26:41Z,0.0
electron/electron,https://github.com/electron/electron,2026-08-18T20:20:22Z,0.0
